person,Person_ID,position,declaration_year,source_type,source_link,index,point_title,declarer/family,no_data,numeric_value,unit_of_measures,family_member,transport_mark,transport_model,transport_description,transport_year,purchase_cost,unit_of_measures_purchase,rent_cost,unit_of_measures_rent,foreign_income_country,foreign_income_currency,foreign_currency_number,additional,block,chapter_num,chapter_name
Негой Федір Федорович,279,,2013,Сайт ВРУ,http://gapp.rada.gov.ua/declview/Home/Main/15823/2013,39,Інші засоби,декларант,,,,,КАМАЗ,55102,"10857 (автомобіль вантажний, спеціальний)",1997,,,,,,,,,Транспортні засоби декларанта,4,Відомості про транспортні засоби
Негой Федір Федорович,279,,2013,Сайт ВРУ,http://gapp.rada.gov.ua/declview/Home/Main/15823/2013,39,Інші засоби,декларант,,,,,КАМАЗ,55102,"10857 (автомобіль вантажний, спеціальний)",1997,,,,,,,,,Транспортні засоби декларанта,4,Відомості про транспортні засоби
Негой Федір Федорович,279,,2013,Сайт ВРУ,http://gapp.rada.gov.ua/declview/Home/Main/15823/2013,39,Інші засоби,декларант,,,,,ЗИЛ,133,"6000 (автомобіль вантажний, спеціальний)",1999,,,,,,,,,Транспортні засоби декларанта,4,Відомості про транспортні засоби
Негой Федір Федорович,279,,2013,Сайт ВРУ,http://gapp.rada.gov.ua/declview/Home/Main/15823/2013,39,Інші засоби,декларант,,,,,Мотоцикл Piaggio,Liberty,,2011,,,,,,,,,Транспортні засоби декларанта,4,Відомості про транспортні засоби
Негой Федір Федорович,279,,2013,Сайт ВРУ,http://gapp.rada.gov.ua/declview/Home/Main/15823/2013,39,Інші засоби,декларант,,,,,Причіп Сантей,,,2013,,,,,,,,,Транспортні засоби декларанта,4,Відомості про транспортні засоби
Негой Федір Федорович,279,,2013,Сайт ВРУ,http://gapp.rada.gov.ua/declview/Home/Main/15823/2013,39,Інші засоби,декларант,,,,,Причіп,,,2009,,,,,,,,,Транспортні засоби декларанта,4,Відомості про транспортні засоби
Негой Федір Федорович,279,,2013,Сайт ВРУ,http://gapp.rada.gov.ua/declview/Home/Main/15823/2013,39,Інші засоби,декларант,,,,,Причіп,2ПТС-9-887,,2013,,,,,,,,,Транспортні засоби декларанта,4,Відомості про транспортні засоби
Негой Федір Федорович,279,,2013,Сайт ВРУ,http://gapp.rada.gov.ua/declview/Home/Main/15823/2013,39,Інші засоби,декларант,,,,,Причіп,3ПТС-12,,2013,,,,,,,,,Транспортні засоби декларанта,4,Відомості про транспортні засоби
Негой Федір Федорович,279,,2013,Сайт ВРУ,http://gapp.rada.gov.ua/declview/Home/Main/15823/2013,39,Інші засоби,декларант,,,,,Причіп,2ПТС-6,,2013,,,,,,,,,Транспортні засоби декларанта,4,Відомості про транспортні засоби
Негой Федір Федорович,279,,2013,Сайт ВРУ,http://gapp.rada.gov.ua/declview/Home/Main/15823/2013,39,Інші засоби,декларант,,,,,Трактор ХТЗ,17021,,2011,,,,,,,,,Транспортні засоби декларанта,4,Відомості про транспортні засоби
